section,instance_id,J,K,rep,kappa,service_seed,lateness_seed,seed_protocol,file,instance_rule,test_K,test_service_seed,test_lateness_seed,reported_method_count,sha256
5.3,S53_J12_R1,12,100,1,,12165,12166,separate_service_and_lateness_seeds,instances/section_5_3/J12_rep_01_K100.npz,stored instance,1000,10012165,20012166,4,8407c4860302e7e8240cd5151e7bcf3c41127c2889f4b46a0c26d9aa67da6812
5.3,S53_J12_R2,12,100,2,,12265,12266,separate_service_and_lateness_seeds,instances/section_5_3/J12_rep_02_K100.npz,stored instance,1000,10012265,20012266,4,06cfe30d6b0cb5e1f4fb5f1ee3e4b197c5c858fd72a14a011a9c5e75e93de704
5.3,S53_J12_R3,12,100,3,,12365,12366,separate_service_and_lateness_seeds,instances/section_5_3/J12_rep_03_K100.npz,stored instance,1000,10012365,20012366,4,87f0d5522418b4c25691d110651c000f95701a0fb5655f9243d6d1fe981c9bfe
5.3,S53_J12_R4,12,100,4,,12465,12466,separate_service_and_lateness_seeds,instances/section_5_3/J12_rep_04_K100.npz,stored instance,1000,10012465,20012466,4,f9f7a92de1466f8e1b8420626a645c36c9fddfdbebdac61408f5c2759abda04b
5.3,S53_J12_R5,12,100,5,,12565,12566,separate_service_and_lateness_seeds,instances/section_5_3/J12_rep_05_K100.npz,stored instance,1000,10012565,20012566,4,437e667d7850096ab42ba57f4777b467f813bfa8297be64ed2a5719e34c5dccb
5.3,S53_J12_R6,12,100,6,,12665,12666,separate_service_and_lateness_seeds,instances/section_5_3/J12_rep_06_K100.npz,stored instance,1000,10012665,20012666,4,834a7e3a44ab32c7457482d31a815cf2c7aea5ebf7506afe92fcba7494a36c32
5.3,S53_J12_R7,12,100,7,,12765,12766,separate_service_and_lateness_seeds,instances/section_5_3/J12_rep_07_K100.npz,stored instance,1000,10012765,20012766,4,976608e8838644404f526e7032bdf686b79ae67c3913b8820136e851fb7c7b6e
5.3,S53_J12_R8,12,100,8,,12865,12866,separate_service_and_lateness_seeds,instances/section_5_3/J12_rep_08_K100.npz,stored instance,1000,10012865,20012866,4,93c04114e623ff01bed0daded7de3dd53b9e20dcd9afb3019c30068e400addaa
5.3,S53_J12_R9,12,100,9,,12965,12966,separate_service_and_lateness_seeds,instances/section_5_3/J12_rep_09_K100.npz,stored instance,1000,10012965,20012966,4,932b7f01e88c8c3ea5d7b730e7696a2f3cc5dde7c5b9eb6da5deccbaf8f9c04e
5.3,S53_J16_R0,16,100,0,,12065,12066,separate_service_and_lateness_seeds,instances/section_5_3/J16_rep_00_K100.npz,stored instance,1000,10012065,20012066,4,c12c87c1938b8e429b118369e2ebe14458201744729276babba5eca9f3342544
5.3,S53_J16_R1,16,100,1,,12165,12166,separate_service_and_lateness_seeds,instances/section_5_3/J16_rep_01_K100.npz,stored instance,1000,10012165,20012166,4,0f44451e373251204172fb802104f7b70f19ae8a49cbc570a30bb5aaccba491c
5.3,S53_J16_R2,16,100,2,,12265,12266,separate_service_and_lateness_seeds,instances/section_5_3/J16_rep_02_K100.npz,stored instance,1000,10012265,20012266,4,3fa0f63ed1c1610bd0434d43007e5d14e46ffa2446ef4af94962884d2d3402d5
5.3,S53_J16_R3,16,100,3,,12365,12366,separate_service_and_lateness_seeds,instances/section_5_3/J16_rep_03_K100.npz,stored instance,1000,10012365,20012366,4,e6a05d473549f3f493930b43567d238c44e7116f13bcc2f8d4faf0a6d534b8cb
5.3,S53_J16_R4,16,100,4,,12465,12466,separate_service_and_lateness_seeds,instances/section_5_3/J16_rep_04_K100.npz,stored instance,1000,10012465,20012466,4,34e256041e76c30a41e420ff5573623e5130de0652c6cda2576242344a41f27c
5.3,S53_J16_R5,16,100,5,,12565,12566,separate_service_and_lateness_seeds,instances/section_5_3/J16_rep_05_K100.npz,stored instance,1000,10012565,20012566,4,2d2c8f06b2869e80b99fe2bdbd98ad391649495d7f9f6fee4ff3c14c7243a27f
5.3,S53_J16_R6,16,100,6,,12665,12666,separate_service_and_lateness_seeds,instances/section_5_3/J16_rep_06_K100.npz,stored instance,1000,10012665,20012666,4,eae126bb9c19e684802d78d6ba05a1f512f223eda6528a267bdb0f87f3ed11e5
5.3,S53_J16_R7,16,100,7,,12765,12766,separate_service_and_lateness_seeds,instances/section_5_3/J16_rep_07_K100.npz,stored instance,1000,10012765,20012766,4,7cd741a682540652373977469a30ba6648a93ac5436d0e1a5f824c8772ad910c
5.3,S53_J16_R8,16,100,8,,12865,12866,separate_service_and_lateness_seeds,instances/section_5_3/J16_rep_08_K100.npz,stored instance,1000,10012865,20012866,4,86aede2349128fd01087819f1fedfb38df2d308041d78dc9792dca1957f85594
5.3,S53_J16_R9,16,100,9,,12965,12966,separate_service_and_lateness_seeds,instances/section_5_3/J16_rep_09_K100.npz,stored instance,1000,10012965,20012966,4,f2549732fb6507220c5130aaa4524e5847e00cce2383e1e9cc7daeacb5e7c3c7
5.3,S53_J20_R0,20,100,0,,12065,12066,separate_service_and_lateness_seeds,instances/section_5_3/J20_rep_00_K100.npz,stored instance,1000,10012065,20012066,4,9d370327dfc4415b40ff7985677c0e06d6056ad70389ee32b6a0dc6f3f94ea78
5.3,S53_J20_R1,20,100,1,,12165,12166,separate_service_and_lateness_seeds,instances/section_5_3/J20_rep_01_K100.npz,stored instance,1000,10012165,20012166,4,8ddbcae4017ce2486afa3c7943dfd2df9a9101cb773dfa930c68888ec5fc8e1b
5.3,S53_J20_R2,20,100,2,,12265,12266,separate_service_and_lateness_seeds,instances/section_5_3/J20_rep_02_K100.npz,stored instance,1000,10012265,20012266,4,f90ee7696a23f711a5f9dc2f40e56451707f5c887a044f2dbc06f7c6d0a56043
5.3,S53_J20_R3,20,100,3,,12365,12366,separate_service_and_lateness_seeds,instances/section_5_3/J20_rep_03_K100.npz,stored instance,1000,10012365,20012366,4,136b559a94fe858eff34e9e207cefc6b928cce6b7199f211f59fb445dd330498
5.3,S53_J20_R4,20,100,4,,12465,12466,separate_service_and_lateness_seeds,instances/section_5_3/J20_rep_04_K100.npz,stored instance,1000,10012465,20012466,4,9b40b002fa1f696b2aa88bab98d264199b60c38907526151edd991e01f9d27b0
5.3,S53_J20_R5,20,100,5,,12565,12566,separate_service_and_lateness_seeds,instances/section_5_3/J20_rep_05_K100.npz,stored instance,1000,10012565,20012566,4,fcf760f49ef743fada71e26f031c38fb7bdbc3598431aa14c64dc6b7594446cc
5.3,S53_J20_R6,20,100,6,,12665,12666,separate_service_and_lateness_seeds,instances/section_5_3/J20_rep_06_K100.npz,stored instance,1000,10012665,20012666,4,c9237fa0b9faf1f157944fa640f244d3eb78d5931547d48dceefa14da62f5423
5.3,S53_J20_R7,20,100,7,,12765,12766,separate_service_and_lateness_seeds,instances/section_5_3/J20_rep_07_K100.npz,stored instance,1000,10012765,20012766,4,73bc2e41feea4f0f17f1898c84349f3d0b975cbe067b84bcb48119f169036dfb
5.3,S53_J20_R8,20,100,8,,12865,12866,separate_service_and_lateness_seeds,instances/section_5_3/J20_rep_08_K100.npz,stored instance,1000,10012865,20012866,4,a7f664b42e58a5fc0ba8fc383b7f2cb1519f4c6973e42c3a9cb004399ff01d46
5.3,S53_J20_R9,20,100,9,,12965,12966,separate_service_and_lateness_seeds,instances/section_5_3/J20_rep_09_K100.npz,stored instance,1000,10012965,20012966,4,89d64b866b01c455da79658abc69a39562358550ff1031f8a0e9dc5e6cec4a45
5.4,S54_K50_KAPPA0_R0,4,50,0,0,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:50; tau=clip(0*tau,0,0.5); psi=clip(0*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K50_KAPPA0.25_R0,4,50,0,0.25,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:50; tau=clip(0.25*tau,0,0.5); psi=clip(0.25*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K50_KAPPA0.75_R0,4,50,0,0.75,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:50; tau=clip(0.75*tau,0,0.5); psi=clip(0.75*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K50_KAPPA1_R0,4,50,0,1,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:50; tau=clip(1*tau,0,0.5); psi=clip(1*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K50_KAPPA1.5_R0,4,50,0,1.5,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:50; tau=clip(1.5*tau,0,0.5); psi=clip(1.5*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K50_KAPPA2_R0,4,50,0,2,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:50; tau=clip(2*tau,0,0.5); psi=clip(2*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K200_KAPPA0_R0,4,200,0,0,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:200; tau=clip(0*tau,0,0.5); psi=clip(0*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K200_KAPPA0.25_R0,4,200,0,0.25,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:200; tau=clip(0.25*tau,0,0.5); psi=clip(0.25*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K200_KAPPA0.75_R0,4,200,0,0.75,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:200; tau=clip(0.75*tau,0,0.5); psi=clip(0.75*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K200_KAPPA1_R0,4,200,0,1,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:200; tau=clip(1*tau,0,0.5); psi=clip(1*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K200_KAPPA1.5_R0,4,200,0,1.5,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:200; tau=clip(1.5*tau,0,0.5); psi=clip(1.5*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K200_KAPPA2_R0,4,200,0,2,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:200; tau=clip(2*tau,0,0.5); psi=clip(2*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K500_KAPPA0_R0,4,500,0,0,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:500; tau=clip(0*tau,0,0.5); psi=clip(0*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K500_KAPPA0.25_R0,4,500,0,0.25,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:500; tau=clip(0.25*tau,0,0.5); psi=clip(0.25*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K500_KAPPA0.75_R0,4,500,0,0.75,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:500; tau=clip(0.75*tau,0,0.5); psi=clip(0.75*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K500_KAPPA1_R0,4,500,0,1,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:500; tau=clip(1*tau,0,0.5); psi=clip(1*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K500_KAPPA1.5_R0,4,500,0,1.5,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:500; tau=clip(1.5*tau,0,0.5); psi=clip(1.5*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K500_KAPPA2_R0,4,500,0,2,2025,2025,common_replication_seed,instances/section_5_4/rep_00_base_K500.npz,"use scenarios 0:500; tau=clip(2*tau,0,0.5); psi=clip(2*psi,0,0.5)",,,,1,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.4,S54_K50_KAPPA0_R1,4,50,1,0,2035,2035,common_replication_seed,instances/section_5_4/rep_01_base_K500.npz,"use scenarios 0:50; tau=clip(0*tau,0,0.5); psi=clip(0*psi,0,0.5)",,,,1,045696d8bc97d7d50b7666a7b8c1fcecd59aa91810bab0372ebdfda97c99fd18
5.4,S54_K50_KAPPA0.25_R1,4,50,1,0.25,2035,2035,common_replication_seed,instances/section_5_4/rep_01_base_K500.npz,"use scenarios 0:50; tau=clip(0.25*tau,0,0.5); psi=clip(0.25*psi,0,0.5)",,,,1,045696d8bc97d7d50b7666a7b8c1fcecd59aa91810bab0372ebdfda97c99fd18
5.4,S54_K50_KAPPA0.75_R1,4,50,1,0.75,2035,2035,common_replication_seed,instances/section_5_4/rep_01_base_K500.npz,"use scenarios 0:50; tau=clip(0.75*tau,0,0.5); psi=clip(0.75*psi,0,0.5)",,,,1,045696d8bc97d7d50b7666a7b8c1fcecd59aa91810bab0372ebdfda97c99fd18
5.4,S54_K50_KAPPA1_R1,4,50,1,1,2035,2035,common_replication_seed,instances/section_5_4/rep_01_base_K500.npz,"use scenarios 0:50; tau=clip(1*tau,0,0.5); psi=clip(1*psi,0,0.5)",,,,1,045696d8bc97d7d50b7666a7b8c1fcecd59aa91810bab0372ebdfda97c99fd18
5.4,S54_K50_KAPPA1.5_R1,4,50,1,1.5,2035,2035,common_replication_seed,instances/section_5_4/rep_01_base_K500.npz,"use scenarios 0:50; tau=clip(1.5*tau,0,0.5); psi=clip(1.5*psi,0,0.5)",,,,1,045696d8bc97d7d50b7666a7b8c1fcecd59aa91810bab0372ebdfda97c99fd18
5.4,S54_K50_KAPPA2_R1,4,50,1,2,2035,2035,common_replication_seed,instances/section_5_4/rep_01_base_K500.npz,"use scenarios 0:50; tau=clip(2*tau,0,0.5); psi=clip(2*psi,0,0.5)",,,,1,045696d8bc97d7d50b7666a7b8c1fcecd59aa91810bab0372ebdfda97c99fd18
5.4,S54_K200_KAPPA0_R1,4,200,1,0,2035,2035,common_replication_seed,instances/section_5_4/rep_01_base_K500.npz,"use scenarios 0:200; tau=clip(0*tau,0,0.5); psi=clip(0*psi,0,0.5)",,,,1,045696d8bc97d7d50b7666a7b8c1fcecd59aa91810bab0372ebdfda97c99fd18
